,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
30,ARAÇARIGUAMA,3502754,22860,644,193,0,837,1044,80.17241379310344,2.817147856517935,0.8442694663167103
31,ARAÇATUBA,3502804,198129,14626,5973,0,20599,25699,80.15486983929335,7.3820591634743025,3.0147025422830582
32,ARAÇOIABA DA SERRA,3502903,34776,1260,315,0,1575,2345,67.16417910447761,3.6231884057971016,0.9057971014492754
33,ARAMINA,3503000,5655,235,90,0,325,446,72.86995515695067,4.155614500442087,1.5915119363395225
34,ARANDU,3503109,6365,349,67,0,416,497,83.70221327967808,5.483110761979576,1.0526315789473684
35,ARAPEÍ,3503158,2460,134,52,0,186,294,63.26530612244898,5.4471544715447155,2.113821138211382
36,ARARAQUARA,3503208,238339,17282,6120,0,23402,26033,89.8935965889448,7.251016409400056,2.5677711159315093
37,ARARAS,3503307,135506,8396,3202,0,11598,13136,88.29171741778319,6.196035599899635,2.362994996531519
38,ARCO-ÍRIS,3503356,1773,299,203,0,502,579,86.70120898100173,16.864072194021432,11.449520586576424
39,AREALVA,3503406,8613,568,104,0,672,933,72.02572347266882,6.594682456751421,1.207477069546035
40,AREIAS,3503505,3896,166,51,0,217,460,47.17391304347826,4.260780287474333,1.3090349075975358
41,AREIÓPOLIS,3503604,11158,301,97,0,398,740,53.783783783783775,2.697616060225847,0.8693314214016848
42,ARIRANHA,3503703,9761,614,293,0,907,957,94.77533960292581,6.290339104599939,3.0017416248335214
43,ARTUR NOGUEIRA,3503802,55340,2327,829,0,3156,3642,86.65568369028006,4.204915070473437,1.4980122876761834
44,ARUJÁ,3503901,91157,2777,1049,0,3826,3843,99.5576372625553,3.04639248768608,1.150761872374036
45,ASPÁSIA,3503950,1818,126,51,0,177,238,74.36974789915966,6.9306930693069315,2.8052805280528053
46,ASSIS,3504008,105087,7745,3502,0,11247,13457,83.57732035371926,7.370083835298372,3.3324769000923045
47,ATIBAIA,3504107,144088,9759,3827,0,13586,15980,85.01877346683354,6.772944311809449,2.656015768141691
48,AURIFLAMA,3504206,15253,933,264,0,1197,1747,68.51745850028621,6.116829476168623,1.7308070543499638
49,AVAÍ,3504305,5436,642,465,0,1107,1326,83.48416289592761,11.810154525386315,8.554083885209714
50,AVANHANDAVA,3504404,13859,468,180,0,648,764,84.81675392670157,3.376867017822353,1.2987950068547516
51,AVARÉ,3504503,91232,6165,2448,0,8613,10063,85.5907780979827,6.75749736934409,2.683269028411084
52,BADY BASSITT,3504602,17761,1051,403,0,1454,1792,81.13839285714286,5.917459602499859,2.2690163842126005
53,BALBINOS,3504701,5934,167,53,0,220,270,81.48148148148148,2.814290529154028,0.8931580721267273
54,BÁLSAMO,3504800,9139,649,233,0,882,1013,87.06811451135242,7.101433417222891,2.549513075828865
55,BANANAL,3504909,10993,724,264,0,988,1328,74.3975903614458,6.586009278631856,2.4015282452469755
56,BARÃO DE ANTONINA,3505005,3498,244,123,0,367,474,77.42616033755274,6.975414522584334,3.516295025728988
57,BARBOSA,3505104,7468,353,181,0,534,630,84.76190476190476,4.726834493840386,2.423674343867167
58,BARIRI,3505203,35558,2409,744,0,3153,3940,80.0253807106599,6.774846729287362,2.0923561505146524
59,BARRA BONITA,3505302,36126,2496,897,0,3393,3936,86.20426829268293,6.9091513037701375,2.4829762497923933
60,BARRA DO CHAPÉU,3505351,5760,206,44,0,250,376,66.48936170212765,3.576388888888889,0.7638888888888888
61,BARRA DO TURVO,3505401,7632,610,320,0,930,1788,52.013422818791945,7.9926624737945495,4.1928721174004195
62,BARRETOS,3505500,122833,10138,4871,0,15009,17642,85.07538827797302,8.253482370372781,3.9655467179015416
63,BARRINHA,3505609,33180,1149,408,0,1557,2008,77.5398406374502,3.4629294755877034,1.2296564195298372
64,BARUERI,3505708,276982,13579,5715,0,19294,22512,85.70540156361052,4.902484637990916,2.063310973276242
65,BASTOS,3505807,20953,1092,412,0,1504,1858,80.94725511302477,5.21166420083043,1.9663055409726529
66,BATATAIS,3505906,62980,3069,1054,0,4123,6227,66.21165890476955,4.87297554779295,1.673547157827882
67,BAURU,3506003,379297,32416,13869,0,46285,55388,83.56503213692497,8.546337039312203,3.6565013696390953
68,BEBEDOURO,3506102,77555,4597,873,0,5470,8815,62.05331820760068,5.92740635677906,1.1256527625556056
69,BENTO DE ABREU,3506201,3005,157,37,0,194,234,82.90598290598291,5.224625623960066,1.2312811980033278
70,BERNARDINO DE CAMPOS,3506300,11158,848,262,0,1110,1382,80.31837916063675,7.599928302563183,2.348091055744757
71,BERTIOGA,3506359,64723,2501,984,0,3485,4416,78.91757246376811,3.8641595723313196,1.520325077638552
72,BILAC,3506409,8117,629,197,0,826,1071,77.12418300653596,7.749168411974868,2.4270050511272636
73,BIRIGUI,3506508,124883,5058,1220,0,6278,10762,58.33488199219477,4.050190978756116,0.9769143918707911
74,BIRITIBA MIRIM,3506607,32936,1103,376,0,1479,1022,144.71624266144815,3.348919115861064,1.1416079669662376
75,BOA ESPERANÇA DO SUL,3506706,15018,621,208,0,829,878,94.41913439635535,4.1350379544546545,1.3850046610733786
76,BOCAINA,3506805,12452,620,189,0,809,1018,79.46954813359528,4.9791198201092195,1.5178284612913588
77,BOFETE,3506904,11921,489,125,0,614,756,81.21693121693121,4.102004865363644,1.048569750859827
