,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
8206,8206,DRS 01 Grande São Paulo,"domingo, 28/03",49.45454545454545,TABOÃO DA SERRA,3552809
8167,8167,DRS 01 Grande São Paulo,"domingo, 28/03",47%,TABOÃO DA SERRA,3552809
27820,27820,DRS 01 Grande São Paulo,"domingo, 28/06",49%,TABOÃO DA SERRA,3552809
27859,27859,DRS 01 Grande São Paulo,"domingo, 28/06",50.09090909090909,TABOÃO DA SERRA,3552809
34372,34372,DRS 01 Grande São Paulo,"domingo, 29/03",59%,TABOÃO DA SERRA,3552809
34411,34411,DRS 01 Grande São Paulo,"domingo, 29/03",60.515151515151516,TABOÃO DA SERRA,3552809
16772,16772,DRS 01 Grande São Paulo,"domingo, 29/11",43.21212121212121,TABOÃO DA SERRA,3552809
16733,16733,DRS 01 Grande São Paulo,"domingo, 29/11",42%,TABOÃO DA SERRA,3552809
3670,3670,DRS 01 Grande São Paulo,"domingo, 30/05",46.484848484848484,TABOÃO DA SERRA,3552809
3631,3631,DRS 01 Grande São Paulo,"domingo, 30/05",46%,TABOÃO DA SERRA,3552809
23285,23285,DRS 01 Grande São Paulo,"domingo, 30/08",48%,TABOÃO DA SERRA,3552809
23324,23324,DRS 01 Grande São Paulo,"domingo, 30/08",46.121212121212125,TABOÃO DA SERRA,3552809
12238,12238,DRS 01 Grande São Paulo,"domingo, 31/01",45.666666666666664,TABOÃO DA SERRA,3552809
12199,12199,DRS 01 Grande São Paulo,"domingo, 31/01",43%,TABOÃO DA SERRA,3552809
29875,29875,DRS 01 Grande São Paulo,"domingo, 31/05",52.06060606060606,TABOÃO DA SERRA,3552809
29836,29836,DRS 01 Grande São Paulo,"domingo, 31/05",51%,TABOÃO DA SERRA,3552809
34195,34195,DRS 01 Grande São Paulo,"quarta-feira, 01/04",55.90909090909091,TABOÃO DA SERRA,3552809
34156,34156,DRS 01 Grande São Paulo,"quarta-feira, 01/04",55%,TABOÃO DA SERRA,3552809
27604,27604,DRS 01 Grande São Paulo,"quarta-feira, 01/07",43%,TABOÃO DA SERRA,3552809
27643,27643,DRS 01 Grande São Paulo,"quarta-feira, 01/07",43.24242424242424,TABOÃO DA SERRA,3552809
3454,3454,DRS 01 Grande São Paulo,"quarta-feira, 02/06",39.90909090909091,TABOÃO DA SERRA,3552809
3415,3415,DRS 01 Grande São Paulo,"quarta-feira, 02/06",40%,TABOÃO DA SERRA,3552809
23069,23069,DRS 01 Grande São Paulo,"quarta-feira, 02/09",42%,TABOÃO DA SERRA,3552809
23108,23108,DRS 01 Grande São Paulo,"quarta-feira, 02/09",40.21212121212121,TABOÃO DA SERRA,3552809
16556,16556,DRS 01 Grande São Paulo,"quarta-feira, 02/12",38.36363636363637,TABOÃO DA SERRA,3552809
16517,16517,DRS 01 Grande São Paulo,"quarta-feira, 02/12",39%,TABOÃO DA SERRA,3552809
11983,11983,DRS 01 Grande São Paulo,"quarta-feira, 03/02",37%,TABOÃO DA SERRA,3552809
12022,12022,DRS 01 Grande São Paulo,"quarta-feira, 03/02",38.303030303030305,TABOÃO DA SERRA,3552809
9967,9967,DRS 01 Grande São Paulo,"quarta-feira, 03/03",38%,TABOÃO DA SERRA,3552809
10006,10006,DRS 01 Grande São Paulo,"quarta-feira, 03/03",38.81818181818182,TABOÃO DA SERRA,3552809
29659,29659,DRS 01 Grande São Paulo,"quarta-feira, 03/06",45.27272727272727,TABOÃO DA SERRA,3552809
29620,29620,DRS 01 Grande São Paulo,"quarta-feira, 03/06",45%,TABOÃO DA SERRA,3552809
35910,35910,DRS 01 Grande São Paulo,"quarta-feira, 04/03",32.21739130434783,TABOÃO DA SERRA,3552809
35871,35871,DRS 01 Grande São Paulo,"quarta-feira, 04/03",31%,TABOÃO DA SERRA,3552809
18572,18572,DRS 01 Grande São Paulo,"quarta-feira, 04/11",38.93939393939394,TABOÃO DA SERRA,3552809
18533,18533,DRS 01 Grande São Paulo,"quarta-feira, 04/11",40%,TABOÃO DA SERRA,3552809
5470,5470,DRS 01 Grande São Paulo,"quarta-feira, 05/05",39.03030303030303,TABOÃO DA SERRA,3552809
5431,5431,DRS 01 Grande São Paulo,"quarta-feira, 05/05",39%,TABOÃO DA SERRA,3552809
25124,25124,DRS 01 Grande São Paulo,"quarta-feira, 05/08",40.03030303030303,TABOÃO DA SERRA,3552809
25085,25085,DRS 01 Grande São Paulo,"quarta-feira, 05/08",39%,TABOÃO DA SERRA,3552809
14038,14038,DRS 01 Grande São Paulo,"quarta-feira, 06/01",41.84848484848485,TABOÃO DA SERRA,3552809
13999,13999,DRS 01 Grande São Paulo,"quarta-feira, 06/01",40%,TABOÃO DA SERRA,3552809
31636,31636,DRS 01 Grande São Paulo,"quarta-feira, 06/05",47%,TABOÃO DA SERRA,3552809
31675,31675,DRS 01 Grande São Paulo,"quarta-feira, 06/05",49.696969696969695,TABOÃO DA SERRA,3552809
7447,7447,DRS 01 Grande São Paulo,"quarta-feira, 07/04",42%,TABOÃO DA SERRA,3552809
7486,7486,DRS 01 Grande São Paulo,"quarta-feira, 07/04",42.60606060606061,TABOÃO DA SERRA,3552809
934,934,DRS 01 Grande São Paulo,"quarta-feira, 07/07",37.96969696969697,TABOÃO DA SERRA,3552809
895,895,DRS 01 Grande São Paulo,"quarta-feira, 07/07",37%,TABOÃO DA SERRA,3552809
20549,20549,DRS 01 Grande São Paulo,"quarta-feira, 07/10",40%,TABOÃO DA SERRA,3552809
20588,20588,DRS 01 Grande São Paulo,"quarta-feira, 07/10",38.78787878787879,TABOÃO DA SERRA,3552809
33691,33691,DRS 01 Grande São Paulo,"quarta-feira, 08/04",52.09090909090909,TABOÃO DA SERRA,3552809
33652,33652,DRS 01 Grande São Paulo,"quarta-feira, 08/04",51%,TABOÃO DA SERRA,3552809
27139,27139,DRS 01 Grande São Paulo,"quarta-feira, 08/07",42.666666666666664,TABOÃO DA SERRA,3552809
27100,27100,DRS 01 Grande São Paulo,"quarta-feira, 08/07",42%,TABOÃO DA SERRA,3552809
2950,2950,DRS 01 Grande São Paulo,"quarta-feira, 09/06",38.75757575757576,TABOÃO DA SERRA,3552809
2911,2911,DRS 01 Grande São Paulo,"quarta-feira, 09/06",39%,TABOÃO DA SERRA,3552809
22565,22565,DRS 01 Grande São Paulo,"quarta-feira, 09/09",43%,TABOÃO DA SERRA,3552809
22604,22604,DRS 01 Grande São Paulo,"quarta-feira, 09/09",40.24242424242424,TABOÃO DA SERRA,3552809
