,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
22421,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 05/11",35%
22239,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 06/05",38%
22512,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 06/08",40%
22358,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 07/01",38%
22603,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 07/05",50%
22267,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 08/04",39%
22176,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 08/07",36%
22449,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 08/10",37%
22631,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 09/04",52%
22540,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 09/07",43%
22204,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 10/06",37%
22477,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 10/09",38%
22386,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 10/12",36%
22323,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 11/02",37%
22295,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 11/03",39%
22568,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 11/06",47%
22656,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 12/03",37%
22414,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 12/11",35%
22232,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 13/05",38%
22505,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 13/08",40%
22351,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 14/01",38%
22596,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 14/05",52%
22260,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 15/04",39%
22169,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 15/07",36%
22442,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 15/10",36%
22624,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 16/04",53%
22533,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 16/07",43%
22197,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 17/06",37%
22470,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 17/09",38%
22379,GUARATINGUETÁ,3518404,122505,SP,"quinta-feira, 17/12",37%
