,Unnamed: 0,DRS,data,media_isolamento,cidade,cod_ibge
28301,28301,DRS 07 Campinas,"domingo, 26/04",58%,VALINHOS,3556206
28341,28341,DRS 07 Campinas,"domingo, 26/04",57.86363636363637,VALINHOS,3556206
22568,22568,DRS 07 Campinas,"domingo, 26/07",52%,VALINHOS,3556206
22608,22608,DRS 07 Campinas,"domingo, 26/07",48.22727272727273,VALINHOS,3556206
1445,1445,DRS 07 Campinas,"domingo, 27/06",44.63636363636363,VALINHOS,3556206
1405,1405,DRS 07 Campinas,"domingo, 27/06",46%,VALINHOS,3556206
18601,18601,DRS 07 Campinas,"domingo, 27/09",46%,VALINHOS,3556206
18641,18641,DRS 07 Campinas,"domingo, 27/09",43.54545454545455,VALINHOS,3556206
12911,12911,DRS 07 Campinas,"domingo, 27/12",47.18181818181818,VALINHOS,3556206
12871,12871,DRS 07 Campinas,"domingo, 27/12",47%,VALINHOS,3556206
8902,8902,DRS 07 Campinas,"domingo, 28/02",47%,VALINHOS,3556206
8942,8942,DRS 07 Campinas,"domingo, 28/02",46.0,VALINHOS,3556206
7178,7178,DRS 07 Campinas,"domingo, 28/03",48.95454545454545,VALINHOS,3556206
7138,7138,DRS 07 Campinas,"domingo, 28/03",50%,VALINHOS,3556206
24332,24332,DRS 07 Campinas,"domingo, 28/06",52%,VALINHOS,3556206
24372,24372,DRS 07 Campinas,"domingo, 28/06",49.36363636363637,VALINHOS,3556206
30065,30065,DRS 07 Campinas,"domingo, 29/03",61%,VALINHOS,3556206
30105,30105,DRS 07 Campinas,"domingo, 29/03",57.86363636363637,VALINHOS,3556206
14675,14675,DRS 07 Campinas,"domingo, 29/11",43.18181818181818,VALINHOS,3556206
14635,14635,DRS 07 Campinas,"domingo, 29/11",44%,VALINHOS,3556206
3209,3209,DRS 07 Campinas,"domingo, 30/05",45.22727272727273,VALINHOS,3556206
3169,3169,DRS 07 Campinas,"domingo, 30/05",46%,VALINHOS,3556206
20364,20364,DRS 07 Campinas,"domingo, 30/08",47%,VALINHOS,3556206
20404,20404,DRS 07 Campinas,"domingo, 30/08",45.59090909090909,VALINHOS,3556206
10706,10706,DRS 07 Campinas,"domingo, 31/01",45.63636363636363,VALINHOS,3556206
10666,10666,DRS 07 Campinas,"domingo, 31/01",43%,VALINHOS,3556206
26136,26136,DRS 07 Campinas,"domingo, 31/05",50.72727272727273,VALINHOS,3556206
26096,26096,DRS 07 Campinas,"domingo, 31/05",54%,VALINHOS,3556206
29916,29916,DRS 07 Campinas,"quarta-feira, 01/04",53.18181818181818,VALINHOS,3556206
29876,29876,DRS 07 Campinas,"quarta-feira, 01/04",55%,VALINHOS,3556206
