,Município,Código IBGE,Populacao,Total 1ª Dose,Total 2ª Dose,Total Unica,Total Doses Aplicadas,distribuidas,Vacinas Aplicadas/Distribuidas,População Vacinada dose1/População Total,População Vacinada/População Total
16,ÁLVARO DE CARVALHO,3501400,5274,242,69,0,311,470,66.17021276595744,4.588547591960562,1.3083048919226392
17,ALVINLÂNDIA,3501509,3237,247,86,0,333,382,87.17277486910994,7.630522088353414,2.6567809700339824
18,AMERICANA,3501608,242018,15232,6165,0,21397,30830,69.40317872202401,6.293746746109793,2.547331190242048
19,AMÉRICO BRASILIENSE,3501707,41032,2516,939,0,3455,4025,85.83850931677019,6.131799571066485,2.2884577890426985
20,AMÉRICO DE CAMPOS,3501806,5981,552,189,0,741,934,79.33618843683084,9.229225881959538,3.160006687844842
21,AMPARO,3501905,72677,5810,2365,0,8175,10496,77.88681402439023,7.994276043314942,3.2541244135008327
22,ANALÂNDIA,3502002,5056,333,96,0,429,568,75.52816901408451,6.58623417721519,1.89873417721519
23,ANDRADINA,3502101,57202,4932,2245,0,7177,9415,76.22942113648433,8.622076151183524,3.924687947973847
24,ANGATUBA,3502200,25479,1239,373,0,1612,2597,62.0716211012707,4.862828211468268,1.4639507045017466
25,ANHEMBI,3502309,6819,353,105,0,458,660,69.39393939393939,5.176712127877988,1.5398152221733392
26,ANHUMAS,3502408,4144,345,129,0,474,546,86.81318681318682,8.325289575289576,3.112934362934363
27,APARECIDA,3502507,36185,2190,950,0,3140,4318,72.71885132005558,6.052231587674451,2.625397264059693
28,APARECIDA D'OESTE,3502606,4158,537,194,0,731,836,87.4401913875598,12.914862914862915,4.6657046657046655
29,APIAÍ,3502705,24226,1386,490,0,1876,2394,78.3625730994152,5.72112606290762,2.0226203252703705
30,ARAÇARIGUAMA,3502754,22860,814,295,0,1109,1434,77.33612273361229,3.560804899387576,1.290463692038495
31,ARAÇATUBA,3502804,198129,17723,7352,0,25075,32559,77.01403605761847,8.945182179287233,3.7107137269152926
32,ARAÇOIABA DA SERRA,3502903,34776,2020,552,0,2572,3375,76.20740740740742,5.808603634690591,1.5873015873015872
33,ARAMINA,3503000,5655,374,116,0,490,666,73.57357357357357,6.613616268788683,2.051282051282051
34,ARANDU,3503109,6365,423,126,0,549,697,78.7661406025825,6.64571877454831,1.9795758051846035
35,ARAPEÍ,3503158,2460,205,75,0,280,364,76.92307692307693,8.333333333333332,3.048780487804878
36,ARARAQUARA,3503208,238339,23377,10136,0,33513,32676,102.56151303709144,9.808298264237074,4.252766018150617
37,ARARAS,3503307,135506,10423,3966,0,14389,17296,83.19264569842738,7.691910321314185,2.9268076690331055
38,ARCO-ÍRIS,3503356,1773,321,207,0,528,659,80.12139605462822,18.104906937394247,11.6751269035533
39,AREALVA,3503406,8613,727,244,0,971,1323,73.39380196523054,8.440729130384304,2.832926970858005
40,AREIAS,3503505,3896,263,130,0,393,570,68.94736842105263,6.750513347022586,3.336755646817249
41,AREIÓPOLIS,3503604,11158,461,226,0,687,950,72.3157894736842,4.131564796558523,2.025452590069905
42,ARIRANHA,3503703,9761,753,313,0,1066,1217,87.5924404272802,7.71437352730253,3.206638664071304
43,ARTUR NOGUEIRA,3503802,55340,2835,1037,0,3872,5062,76.49150533386013,5.122876761835923,1.8738706179978315
44,ARUJÁ,3503901,91157,3782,1371,0,5153,7196,71.60922734852696,4.148885987910967,1.5039985958291737
45,ASPÁSIA,3503950,1818,206,70,0,276,308,89.6103896103896,11.331133113311331,3.850385038503851
46,ASSIS,3504008,105087,10524,3856,0,14380,16997,84.60316526445844,10.01455936509749,3.6693406415636565
47,ATIBAIA,3504107,144088,12453,4886,0,17339,20780,83.44080846968238,8.64263505635445,3.3909832879906725
48,AURIFLAMA,3504206,15253,1193,388,0,1581,2327,67.94155565105285,7.8214121812102535,2.5437618829082806
49,AVAÍ,3504305,5436,683,484,0,1167,1456,80.1510989010989,12.56438557763061,8.903605592347315
50,AVANHANDAVA,3504404,13859,676,228,0,904,1014,89.15187376725838,4.877696803521178,1.6451403420160184
51,AVARÉ,3504503,91232,7177,2992,0,10169,12913,78.75009680167273,7.866757278148018,3.279551034724658
52,BADY BASSITT,3504602,17761,1249,602,0,1851,2292,80.75916230366492,7.032261696976522,3.3894487922977308
53,BALBINOS,3504701,5934,187,65,0,252,300,84.0,3.151331311088642,1.0953825412874958
54,BÁLSAMO,3504800,9139,865,309,0,1174,1373,85.50619082301529,9.464930517562097,3.3811139074296968
55,BANANAL,3504909,10993,899,328,0,1227,1698,72.26148409893993,8.177931410897845,2.9837169107613937
56,BARÃO DE ANTONINA,3505005,3498,290,134,0,424,584,72.6027397260274,8.290451686678102,3.8307604345340196
57,BARBOSA,3505104,7468,416,201,0,617,860,71.74418604651163,5.570433851098018,2.6914836636314945
58,BARIRI,3505203,35558,2932,1082,0,4014,5120,78.3984375,8.245683109286237,3.0429157995387817
59,BARRA BONITA,3505302,36126,3146,1239,0,4385,5256,83.42846270928462,8.708409455793612,3.4296628467032053
60,BARRA DO CHAPÉU,3505351,5760,263,68,0,331,536,61.75373134328358,4.565972222222222,1.1805555555555556
61,BARRA DO TURVO,3505401,7632,935,494,0,1429,2378,60.092514718250634,12.25104821802935,6.472746331236897
62,BARRETOS,3505500,122833,12827,5690,0,18517,22384,82.72426733380986,10.44263349425643,4.632305650761603
63,BARRINHA,3505609,33180,1479,493,0,1972,2568,76.79127725856698,4.45750452079566,1.48583484026522
64,BARUERI,3505708,276982,17348,6601,0,23949,24412,98.1033917745371,6.263222880909229,2.3831873551349907
65,BASTOS,3505807,20953,1550,532,0,2082,2528,82.35759493670885,7.397508709969933,2.5390158927122606
66,BATATAIS,3505906,62980,3381,1441,0,4822,8307,58.04742987841579,5.3683709114004445,2.2880279453794854
67,BAURU,3506003,379297,37252,16693,0,53945,67678,79.7083247140873,9.821327350334961,4.401036654653214
68,BEBEDOURO,3506102,77555,5949,1478,0,7427,9735,76.29173086800205,7.670685320095416,1.9057443104893304
69,BENTO DE ABREU,3506201,3005,187,57,0,244,304,80.26315789473685,6.222961730449252,1.896838602329451
70,BERNARDINO DE CAMPOS,3506300,11158,963,405,0,1368,1842,74.2671009771987,8.630578956802294,3.629682738842086
71,BERTIOGA,3506359,64723,2895,1217,0,4112,5696,72.19101123595506,4.472907621710983,1.8803207515102824
72,BILAC,3506409,8117,825,303,0,1128,1371,82.27571115973743,10.163853640507577,3.7329062461500557
73,BIRIGUI,3506508,124883,7391,1894,0,9285,14712,63.11174551386623,5.91833956583362,1.5166195559043265
74,BIRITIBA MIRIM,3506607,32936,1625,428,0,2053,13884,14.786804955344282,4.93381102744717,1.299489919844547
75,BOA ESPERANÇA DO SUL,3506706,15018,737,289,0,1026,1152,89.0625,4.9074444000532695,1.924357437741377
76,BOCAINA,3506805,12452,782,330,0,1112,1328,83.73493975903614,6.28011564407324,2.65017667844523
77,BOFETE,3506904,11921,620,186,0,806,1176,68.5374149659864,5.200905964264743,1.560271789279423
78,BOITUVA,3507001,62170,2821,1019,0,3840,5356,71.69529499626587,4.53755830786553,1.6390542062087823
79,BOM JESUS DOS PERDÕES,3507100,25985,1177,342,0,1519,2094,72.54059216809932,4.529536270925534,1.3161439291899173
80,BOM SUCESSO DE ITARARÉ,3507159,3984,187,63,0,250,300,83.33333333333334,4.693775100401607,1.5813253012048192
81,BORÁ,3507209,838,104,38,0,142,162,87.65432098765432,12.410501193317423,4.534606205250596
