,Indice s/ Acento,Indice c/ acento,Município com acento,Municipio Sem Acento,Total 1ª Dose,Total 2ª Dose,Total Doses Aplicadas,Doses distribuidas,% Vacinas Aplicadas,Código IBGE
31,38,31,ARCO-ÍRIS,ARCO-IRIS,554,420,974,993,101.95071868583165,3503356
32,39,32,AREALVA,AREALVA,1769,977,2746,2902,105.68099053168244,3503406
33,40,33,AREIAS,AREIAS,658,361,1019,1060,104.02355250245338,3503505
34,41,34,AREIÓPOLIS,AREIOPOLIS,1159,603,1762,2049,116.28830874006808,3503604
35,42,35,ARIRANHA,ARIRANHA,1626,1005,2631,2490,94.64082098061571,3503703
36,43,36,ARTUR NOGUEIRA,ARTUR NOGUEIRA,7196,3609,10805,11342,104.96992133271635,3503802
37,44,37,ARUJÁ,ARUJA,11035,5663,16698,17488,104.73110552161936,3503901
38,45,38,ASPÁSIA,ASPASIA,440,257,697,641,91.96556671449068,3503950
39,46,39,ASSIS,ASSIS,19881,11648,31529,33045,104.80827174981764,3504008
40,47,40,ATIBAIA,ATIBAIA,25076,14011,39087,41640,106.53158339089724,3504107
41,48,41,AURIFLAMA,AURIFLAMA,2770,1552,4322,4830,111.7538176770014,3504206
42,50,42,AVANHANDAVA,AVANHANDAVA,1507,748,2255,2238,99.24611973392462,3504404
43,51,43,AVARÉ,AVARE,15862,8676,24538,25966,105.81954519520744,3504503
44,49,44,AVAÍ,AVAI,1216,809,2025,2123,104.8395061728395,3504305
45,52,45,BADY BASSITT,BADY BASSITT,3064,1836,4900,4653,94.95918367346935,3504602
46,53,46,BALBINOS,BALBINOS,361,133,494,502,101.61943319838056,3504701
47,55,47,BANANAL,BANANAL,2033,1297,3330,3361,100.93093093093093,3504909
48,57,48,BARBOSA,BARBOSA,1148,695,1843,1850,100.3798155181769,3505104
49,58,49,BARIRI,BARIRI,6329,3625,9954,10195,102.42113723126378,3505203
50,59,50,BARRA BONITA,BARRA BONITA,7004,4068,11072,11043,99.73807803468208,3505302
51,60,51,BARRA DO CHAPÉU,BARRA DO CHAPEU,721,376,1097,1288,117.41112123974476,3505351
52,61,52,BARRA DO TURVO,BARRA DO TURVO,1895,1178,3073,3305,107.5496257728604,3505401
