,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
452,PORANGABA,265.689,10067,31.34,94.7,703,20.20,2.694.034.188,2.403.870.298,18026.55
453,PORTO FELIZ,556.706,53402,87.83,98.2,758,9.47,23.788.026.644,20.734.370.731,49253.38
454,PORTO FERREIRA,244.906,56504,209.88,98.1,751,5.36,1.845.406.666,15.862.332.425,36767.59
455,POTIM,44.643,25130,436.2,99.3,697,23.81,4.464.605.728,4.049.958.409,9005.43
456,POTIRENDABA,342.492,17516,45.12,98.0,747,4.61,6.269.658.066,5.652.412.938,29949.39
457,PRACINHA,63.054,4212,45.48,100.0,696,-,1.240.208.938,1.083.880.943,8256.98
458,PRADÓPOLIS,167.378,21873,103.82,96.3,733,4.41,7.010.562.358,5.791.505.729,40977.09
459,PRAIA GRANDE,149.253,330845,1781.87,96.9,754,13.83,141.682.099.938,128.266.266.264,22064.57
460,PRATÂNIA,175.100,5317,26.26,97.7,701,14.71,2.063.681.564,1.842.579.704,25213.86
461,PRESIDENTE ALVES,286.642,4080,14.36,98.9,735,16.13,1.640.363.642,1.399.772.865,17861.26
462,PRESIDENTE BERNARDES,749.233,13023,18.12,98.5,757,30.30,4.462.155.147,3.935.506.732,20494.34
463,PRESIDENTE EPITÁCIO,1.260.281,44389,32.79,98.8,750,11.21,10.076.290.249,8.747.982.225,19364.06
464,PRESIDENTE PRUDENTE,560.637,230371,368.89,97.8,806,10.20,68.320.623.001,64.655.234.024,35207.07
465,PRESIDENTE VENCESLAU,755.203,39583,50.1,98.6,763,07.08,12.662.658.684,11.761.184.149,18163.42
466,PROMISSÃO,779.200,40828,45.78,96.7,743,16.55,11.500.584.254,9.670.177.294,40628.23
467,QUADRA,205.672,3854,15.73,98.3,678,19.23,2.091.741.061,1.842.621.274,26393.71
468,QUATÁ,651.341,14210,19.68,98.7,738,6.71,4.997.477.317,4.418.177.808,32860.67
469,QUEIROZ,234.914,3460,12.01,98.1,715,19.61,221.859.865,1.908.298.897,97276.33
470,QUELUZ,249.399,13606,45.27,98.0,722,09.01,3.862.304.826,3.367.443.423,25423.85
471,QUINTANA,318.937,6688,18.79,98.1,732,23.53,2.596.538.474,2.232.100.397,26261.02
472,RAFARD,121.645,9101,70.8,98.3,745,9.26,4.061.526.321,3.469.974.755,35586.08
473,RANCHARIA,1.587.498,29726,18.14,97.5,751,22.96,9.794.357.859,8.519.820.751,37222.41
474,REDENÇÃO DA SERRA,309.441,3839,12.52,95.2,657,20.00,1.791.564.921,1.577.990.827,13767.32
475,REGENTE FEIJÓ,263.280,20394,69.77,98.8,768,04.03,6.277.831.766,5.764.713.876,35313.43
476,REGINÓPOLIS,410.406,9837,17.83,98.8,728,15.38,2.682.504.292,2.158.924.047,15428.57
477,REGISTRO,722.201,56393,75.11,97.3,754,6.31,18.394.863.276,16.356.212.876,34962.27
478,RESTINGA,245.746,7679,26.8,98.6,705,17.54,2.776.477.117,2.447.316.489,22126.48
479,RIBEIRA,335.759,3330,10.0,97.0,698,63.83,1.795.611.432,1.501.425.486,14361.28
480,RIBEIRÃO BONITO,471.553,13299,25.73,98.7,712,14.18,3.751.344.987,3.354.051.695,19500.82
481,RIBEIRÃO BRANCO,697.500,16211,26.19,97.5,639,33.71,4.631.757.908,3.896.385.758,17976.03
482,RIBEIRÃO CORRENTE,148.332,4752,28.81,100.0,711,30.30,2.181.942.408,1.957.753.411,23548.05
483,RIBEIRÃO DO SUL,203.208,4539,21.83,99.0,747,22.22,2.155.529.534,1.892.958.248,33392.7
484,RIBEIRÃO DOS ÍNDIOS,196.446,2224,11.14,98.6,721,45.45,1.603.101.851,1.254.409.571,16030.11
485,RIBEIRÃO GRANDE,333.363,7679,22.26,96.8,705,11.49,3.016.019.922,2.467.096.158,34793.11
486,RIBEIRÃO PIRES,99.075,124159,1140.73,97.4,784,9.15,29.522.317.612,27.371.116.042,24818.57
487,RIBEIRÃO PRETO,650.916,711825,928.92,96.9,800,9.19,28.885.652.922,249.764.250.729,49425.29
488,RIVERSUL,385.878,5443,15.96,95.9,664,15.87,18672.10,1.803.281.346,12349.69
489,RIFAINA,162.508,3640,21.14,99.2,740,23.26,336.170.077,2.780.257.514,33254.17
490,RINCÃO,316.639,10812,32.96,98.2,734,7.75,3.187.272.117,2.917.087.756,18176.48
491,RINÓPOLIS,358.481,9961,27.73,98.6,723,28.57,2.917.265.856,2.576.917.976,25464.98
492,RIO CLARO,498.422,208008,373.69,98.2,803,11.81,80.352.541.222,73.241.203.469,47851.56
493,RIO DAS PEDRAS,226.657,35738,130.16,98.4,759,5.15,10.240.719.133,9.462.713.742,40086.87
