,Municipio,area,Populacao_Estimada,Densidade_Demográfica,Escolarizacao_6_14_anos,IDHM,Mortalidade_Infantil,Receitas_Realizadas,Despesas_empenhadas,PIB
0,ADAMANTINA,411.987,35111,82.15,97.6,790,11.63,16.071.867.925,13.708.366.993,30962.66
1,ADOLFO,211.055,3554,16.85,98.6,730,19.23,2.733.374.731,2.010.387.713,25867.75
2,AGUAÍ,474.554,36648,67.72,95.8,715,16.06,8.409.476.006,7.216.873.408,28041.03
3,ÁGUAS DA PRATA,142.673,8221,53.05,98.8,781,25.32,2.939.024.814,2.436.340.149,20683.88
4,ÁGUAS DE LINDÓIA,60.126,18808,287.16,96.2,745,8.37,8.694.922.213,7.520.147.793,26427.34
5,ÁGUAS DE SANTA BÁRBARA,404.463,6109,13.83,98.2,757,23.26,3.448.419.534,2.847.194.804,27620.94
6,ÁGUAS DE SÃO PEDRO,3.612,3521,488.89,98.4,854,38.46,2.515.775.668,2.270.999.284,40220.9
7,AGUDOS,966.708,37401,35.73,97.9,745,12.13,15.998.062.054,14.341.768.289,59513.01
8,ALAMBARI,159.600,6129,30.66,99.3,712,25.00,2.371.099.557,2.183.901.214,16981.63
9,ALFREDO MARCONDES,118.915,4184,32.86,98.6,741,20.83,164.789.668,1.511.197.897,20104.35
10,ALTAIR,313.007,4186,12.16,96.0,687,20.41,2.231.894.651,1.941.076.045,25842.48
11,ALTINÓPOLIS,928.956,16203,16.8,99.3,730,16.39,7.214.419.151,5.543.605.472,30792.08
12,ALTO ALEGRE,318.574,4088,12.86,95.1,700,33.33,208.464.169,1.823.622.271,26207.29
13,ALUMÍNIO,83.660,18767,201.28,98.8,766,20.33,7.539.742.207,7.257.258.372,113887.93
14,ÁLVARES FLORENCE,362.411,3647,10.74,99.3,728,26.32,2.047.081.479,1.824.110.731,32245.7
15,ÁLVARES MACHADO,347.647,24998,67.69,98.3,758,18.13,628.813.731,602.969.844,21374.06
16,ÁLVARO DE CARVALHO,153.662,5274,30.36,99.2,688,17.54,1.794.308.204,1.644.113.972,9632.45
17,ALVINLÂNDIA,84.879,3237,35.38,99.3,722,21.74,153.064.017,1.294.054.398,16190.38
18,AMERICANA,133.912,242018,1572.75,98.0,811,7.47,7.740.325.912,7.097.438.111,47793.48
19,AMÉRICO BRASILIENSE,122.958,41032,280.91,98.6,751,16.00,9.979.119.948,10.079.916.438,24008.7
20,AMÉRICO DE CAMPOS,252.876,5981,22.54,98.2,745,19.61,2.321.851.517,2.140.683.023,19767.04
21,AMPARO,445.323,72677,147.75,95.7,785,5.65,26.229.966.169,24.072.795.422,64804.88
22,ANALÂNDIA,325.953,5056,13.18,99.7,754,21.28,3.122.486.385,309.675.513,37298.53
23,ANDRADINA,964.226,57202,57.39,98.2,779,13.35,16.695.527.105,14.735.321.707,33661.69
24,ANGATUBA,1.027.288,25479,21.61,98.3,719,6.31,8.216.930.165,6.630.615.913,40386.56
25,ANHEMBI,736.557,6819,7.67,97.2,721,14.08,3.134.697.388,2.990.798.478,27144.44
26,ANHUMAS,320.840,4144,11.66,98.3,741,33.33,1.992.885.581,1.761.483.672,18317.06
27,APARECIDA,120.890,36185,289.13,98.4,755,6.25,11.161.276.459,9.827.114.272,29969.65
28,APARECIDA D'OESTE,179.004,4158,24.86,97.7,721,21.74,1.956.067.564,1.774.429.241,30365.95
29,APIAÍ,974.322,24226,25.85,97.3,710,16.67,7.109.028.962,650.666.608,24247.23
30,ARAÇARIGUAMA,145.204,22860,117.63,98.2,704,12.01,1.099.014.892,9.890.372.356,149668.66
31,ARAÇATUBA,1.167.126,198129,155.54,97.6,788,11.02,52.409.605.565,48.979.965.507,37521.17
32,ARAÇOIABA DA SERRA,255.327,34776,106.88,99.4,776,7.23,13.756.359.258,8.257.797.635,25731.56
33,ARAMINA,202.829,5655,25.39,98.7,740,14.49,2.382.600.133,218.444.276,22669.33
34,ARANDU,285.908,6365,21.42,98.4,685,30.93,3.044.516.322,3.041.449.906,18522.28
35,ARAPEÍ,156.903,2460,15.89,98.7,680,71.43,1.529.720.594,1.264.783.575,12390.56
36,ARARAQUARA,1.003.625,238339,207.9,98.7,815,10.46,81.319.467.742,79.761.315.061,40253.93
37,ARARAS,644.831,135506,184.3,97.5,781,12.11,543.415.814,47.276.251.826,41863.92
38,ARCO-ÍRIS,264.904,1773,7.27,99.1,722,33.33,1.487.626.005,1.239.160.573,29273.95
39,AREALVA,506.226,8613,15.53,99.6,744,21.05,2.804.266.791,2.370.469.254,27135.55
40,AREIAS,305.227,3896,12.11,96.8,697,21.28,173.399.579,1.591.897.697,11126.84
41,AREIÓPOLIS,85.907,11158,123.35,97.3,695,22.90,3.168.303.985,2.765.950.588,12884.23
42,ARIRANHA,132.624,9761,64.19,99.6,733,25.00,464.712.831,3.979.184.863,76108.12
43,ARTUR NOGUEIRA,178.026,55340,248.15,98.3,749,7.36,1.516.913.716,141.937.105,22156.59
44,ARUJÁ,96.167,91157,779.33,98.2,784,16.32,28.527.824.609,24.738.693.664,69588.09
45,ASPÁSIA,69.373,1818,26.09,97.1,735,-,1.574.694.939,1.347.252.382,19290.58
46,ASSIS,460.609,105087,206.7,98.9,805,7.69,35.475.202.841,28.856.658.779,32443.96
47,ATIBAIA,478.521,144088,264.57,97.3,765,11.07,48.934.276.239,46.527.938.024,50498.62
48,AURIFLAMA,434.498,15253,32.72,98.8,773,5.85,4.395.308.385,3.907.089.907,20155.43
49,AVAÍ,540.689,5436,9.18,99.4,714,14.08,2.094.163.736,18.277.667,50644.08
50,AVANHANDAVA,338.370,13859,33.4,97.2,705,6.37,4.796.929.454,4.172.229.587,23782.13
51,AVARÉ,1.213.055,91232,68.37,97.9,767,11.49,31.271.850.318,27.855.738.041,30391.62
52,BADY BASSITT,110.372,17761,132.32,98.5,746,4.65,6.386.975.059,5.503.085.403,20504.81
53,BALBINOS,91.635,5934,40.4,98.9,669,55.56,1.516.928.571,1.405.214.424,10405.42
54,BÁLSAMO,149.881,9139,54.18,99.0,756,11.76,2.456.988.605,2.276.147.872,22575.02
55,BANANAL,616.429,10993,16.58,97.1,733,21.28,349.816.939,3.169.134.202,16937.75
56,BARÃO DE ANTONINA,153.142,3498,20.35,100.0,711,17.54,1.639.190.513,1.412.696.188,15482.6
57,BARBOSA,205.212,7468,32.14,98.4,699,11.36,2.318.635.882,2.006.111.119,12939.48
58,BARIRI,444.405,35558,71.14,96.3,750,9.98,10.301.158.401,9.291.584.917,33185.53
59,BARRA BONITA,150.121,36126,235.12,99.8,788,13.42,11.563.620.768,1.034.400.716,35500.64
60,BARRA DO CHAPÉU,405.681,5760,12.93,96.9,660,27.78,1.535.893.517,1.645.513.088,14278.54
61,BARRA DO TURVO,1.007.684,7632,7.67,95.6,641,12.05,3.554.980.915,3.200.527.199,11840.74
62,BARRETOS,1.566.161,122833,71.6,97.8,789,14.57,52.612.769.013,54.357.856.644,40046.22
63,BARRINHA,146.025,33180,195.66,97.5,725,8.51,8.134.919.113,7.259.476.774,15960.29
64,BARUERI,65.701,276982,3665.21,97.8,786,8.47,274.182.670.456,245.013.078.723,186382.33
65,BASTOS,170.912,20953,118.95,98.5,751,10.34,5.938.025.797,5.041.974.043,45791.98
66,BATATAIS,849.526,62980,66.48,97.7,761,14.75,17.411.385.633,15.720.301.525,25636.34
67,BAURU,667.684,379297,515.12,96.9,801,12.98,130.295.188.209,117.232.348.483,39121.44
68,BEBEDOURO,683.192,77555,109.81,98.5,780,9.88,21.820.119.978,26.294.413.955,43191.17
69,BENTO DE ABREU,301.687,3005,8.87,97.9,744,32.26,1.835.707.305,1.617.083.182,56699.61
70,BERNARDINO DE CAMPOS,244.158,11158,44.12,98.3,734,20.27,3.264.722.923,2.949.533.563,19777.19
71,BERTIOGA,491.546,64723,97.21,98.1,730,16.27,42.937.428.458,34.953.846.811,27384.29
72,BILAC,158.025,8117,44.63,99.0,768,26.67,2.992.548.339,2.529.308.059,24284.98
73,BIRIGUI,530.031,124883,204.79,98.0,780,14.67,36.395.217.165,35.071.805.117,27268.69
74,BIRITIBA MIRIM,317.406,32936,90.03,97.7,712,15.23,6.800.667.889,6.401.243.166,21320.35
75,BOA ESPERANÇA DO SUL,690.748,15018,19.75,96.0,681,17.65,5.160.480.184,4.019.062.552,20877.23
76,BOCAINA,363.926,12452,29.84,99.3,742,32.00,3.793.181.899,3.744.281.588,17819.21
77,BOFETE,653.541,11921,14.72,95.1,705,08.06,3.859.894.168,3.295.507.294,16223.0
78,BOITUVA,248.954,62170,194.07,98.7,780,11.10,19.805.702.674,19.051.618.094,39829.36
79,BOM JESUS DOS PERDÕES,108.366,25985,181.87,97.7,713,12.16,8.225.802.662,6.784.087.637,36485.98
80,BOM SUCESSO DE ITARARÉ,133.578,3984,26.73,98.3,660,14.29,1.685.496.935,1.489.340.022,15972.41
81,BORÁ,118.951,838,6.8,94.6,746,-,1.270.199.598,977.339.024,84796.15
82,BORACÉIA,122.110,4868,34.95,99.3,754,18.18,2.463.933.308,222.448.319,80228.55
83,BORBOREMA,552.256,16164,26.31,98.3,730,13.25,4.743.325.277,4.163.090.222,23374.91
84,BOREBI,347.989,2683,6.59,99.5,705,55.56,1.863.130.925,1.568.580.692,24905.82
85,BOTUCATU,1.482.642,148130,85.88,97.8,800,13.99,40.144.376.209,34.809.799.717,31925.21
86,BRAGANÇA PAULISTA,512.584,170533,286.26,97.0,776,8.54,47.435.506.722,41.956.918.644,37813.45
87,BRAÚNA,195.176,5741,25.7,98.6,737,15.63,2.030.316.854,1.704.980.737,17435.66
88,BREJO ALEGRE,105.689,2889,24.41,95.9,710,28.57,2.022.797.667,1.794.573.318,29271.06
89,BRODOWSKI,278.458,25277,75.8,97.5,755,09.09,781.115.528,6.888.722.289,27203.14
90,BROTAS,1.101.373,24636,19.59,99.1,740,7.33,9.440.693.639,8.049.501.377,27225.67
91,BURI,1.196.462,19965,15.52,98.5,667,13.16,7.424.165.561,6.141.611.714,20905.86
92,BURITAMA,326.921,17281,47.19,96.7,763,5.59,7.846.555.996,6.092.304.761,37385.31
93,BURITIZAL,266.420,4514,15.21,99.4,735,55.56,2.648.307.913,2.245.155.903,40019.23
94,CABRÁLIA PAULISTA,239.974,4243,18.19,97.5,694,38.46,1.915.779.667,1.597.261.734,19260.49
95,CABREÚVA,260.234,50429,159.87,97.3,738,16.62,20.680.922.618,19.273.091.119,95518.16
96,CAÇAPAVA,368.990,95018,229.66,98.0,788,9.50,24.545.023.084,22.230.583.405,46192.5
97,CACHOEIRA PAULISTA,287.990,33581,104.49,98.0,764,17.33,880.167.067,7.832.961.452,18401.78
98,CACONDE,468.214,19009,39.44,97.7,720,14.15,5.275.487.491,4.867.607.968,18846.16
99,CAFELÂNDIA,920.280,17843,18.05,96.7,742,8.89,6.205.466.542,5.871.812.186,28550.67
100,CAIABU,253.352,4193,16.11,98.9,729,20.83,1.784.245.456,1.559.789.667,13893.64
101,CAIEIRAS,97.642,102775,900.37,94.8,781,7.54,29.068.707.539,23.756.495.633,35517.31
102,CAIUÁ,551.159,5946,9.16,99.3,697,46.51,3.025.015.624,261.710.968,13036.29
103,CAJAMAR,131.386,77934,488.18,96.5,728,13.52,44.755.350.022,3.864.984.297,224359.59
104,CAJATI,454.436,28494,62.43,98.4,694,10.06,10.186.979.444,842.043.461,50776.98
105,CAJOBI,176.929,10596,55.22,99.7,734,10.42,3.248.739.429,3.021.652.334,14873.72
106,CAJURU,660.088,26393,35.41,97.1,713,11.73,6.702.945.859,59.784.761,22061.52
107,CAMPINA DO MONTE ALEGRE,184.479,6057,30.09,97.5,717,26.67,22.714.434,1.947.558.047,18135.71
108,CAMPINAS,794.571,1213792,1359.6,96.0,805,8.88,461.499.076.219,471.997.568.304,51417.44
109,CAMPO LIMPO PAULISTA,79.403,85541,932.92,96.7,769,11.35,18.959.027.143,16.342.727.489,25211.06
110,CAMPOS DO JORDÃO,289.981,52405,164.76,97.1,749,7.82,19.682.983.668,18.037.879.266,24107.48
111,CAMPOS NOVOS PAULISTA,484.199,4997,9.38,97.9,706,25.97,217.404.125,1.966.472.806,28746.56
112,CANANÉIA,1.237.354,12541,9.86,97.3,720,10.53,5.331.248.738,4.726.034.112,23977.74
113,CANAS,53.261,5204,82.33,98.3,704,47.06,220.473.792,2.046.471.278,20623.06
114,CÂNDIDO MOTA,595.811,31346,50.12,98.2,747,14.84,11.906.747.623,9.180.050.762,37372.6
115,CÂNDIDO RODRIGUES,70.892,2799,37.94,99.0,789,47.62,1.855.795.683,1.417.740.555,35917.03
116,CANITAR,57.459,5292,76.34,96.1,680,28.57,1.972.373.873,1.700.702.541,36713.02
117,CAPÃO BONITO,1.640.230,47118,28.15,98.7,721,8.97,13.594.040.296,12.248.296.613,19221.42
118,CAPELA DO ALTO,169.890,20985,103.2,96.5,699,14.04,5.975.163.173,5.183.196.495,13344.01
119,CAPIVARI,322.878,56379,150.45,97.3,750,16.13,21.147.650.331,19.216.205.772,37353.4
120,CARAGUATATUBA,484.947,123389,207.88,97.7,759,13.09,67.164.892.887,5.953.609.078,27802.88
121,CARAPICUÍBA,34.546,403183,10698.32,96.2,749,10.77,44.190.733.186,41.606.726.676,14413.33
122,CARDOSO,639.248,12349,18.45,96.8,722,14.29,4.630.823.775,4.032.040.495,20770.49
123,CASA BRANCA,864.225,30520,32.76,96.9,730,6.33,9.751.896.221,9.269.325.741,27488.44
124,CÁSSIA DOS COQUEIROS,191.683,2505,13.74,99.5,734,47.62,1.589.876.893,129.997.879,58581.94
125,CASTILHO,1.065.318,21267,16.89,99.1,731,24.39,8.705.428.444,7.716.998.419,41708.15
126,CATANDUVA,290.596,122497,388.24,98.1,785,8.14,46.137.242.056,40.370.092.796,34611.18
127,CATIGUÁ,148.393,7855,48.03,98.4,751,10.75,2.126.627.659,1.943.758.657,15079.11
128,CEDRAL,197.838,9346,40.33,98.7,766,19.61,3.776.392.539,3.096.082.651,34238.37
129,CERQUEIRA CÉSAR,511.621,20191,34.27,98.2,729,4.10,7.597.489.702,642.727.041,30605.21
130,CERQUILHO,127.803,49802,309.98,99.6,782,5.96,16.544.981.452,13.870.953.714,38133.41
131,CESÁRIO LANGE,190.392,18375,81.46,96.3,706,21.28,567.928.307,5.341.386.635,24128.03
132,CHARQUEADA,175.846,17367,85.79,97.9,736,19.42,4.456.550.282,3.858.850.552,20806.95
133,CLEMENTINA,168.590,8757,41.85,98.0,725,8.55,2.883.928.053,2.523.684.461,25945.35
134,COLINA,422.303,18535,41.11,98.4,757,8.10,8.067.211.148,6.947.246.161,60218.14
135,COLÔMBIA,728.648,6216,8.22,99.2,710,11.76,4.393.522.451,3.861.876.712,53207.43
136,CONCHAL,182.793,28273,138.02,96.7,708,12.20,10.096.050.997,8.641.317.651,24884.49
137,CONCHAS,466.120,18019,34.95,97.6,736,9.62,5.472.410.202,5.064.558.986,19830.73
138,CORDEIRÓPOLIS,137.579,24826,153.22,96.7,758,3.55,1.420.986.848,12.167.231.628,116519.63
139,COROADOS,246.825,6129,21.26,98.3,719,13.89,208.303.842,1.840.657.198,27648.49
140,CORONEL MACEDO,303.830,4635,16.45,99.1,690,18.52,2.272.931.678,1.898.206.845,16258.72
141,CORUMBATAÍ,278.622,4064,13.9,97.0,754,18.87,2.528.525.506,2.344.837.991,61418.68
142,COSMÓPOLIS,154.665,73474,380.37,98.0,769,10.83,17.194.844.395,14.844.159.284,22410.36
143,COSMORAMA,441.680,7298,16.33,97.9,722,33.33,3.077.834.102,2.564.712.509,45912.53
144,COTIA,323.994,253608,620.81,97.5,780,7.42,79.524.286.637,72.086.657.794,51225.49
145,CRAVINHOS,311.423,35579,101.77,98.1,756,12.44,13.108.058.595,111.134.667,34165.63
146,CRISTAIS PAULISTA,385.230,8718,19.7,98.2,734,16.53,2.947.210.652,2.548.163.482,22617.1
147,CRUZÁLIA,149.330,2046,15.26,97.8,774,43.48,1.622.907.926,146.318.345,49778.13
148,CRUZEIRO,305.699,82571,252.01,97.6,788,14.05,16.565.553.621,14.734.817.894,29743.19
149,CUBATÃO,142.879,131626,830.91,98.0,737,13.58,118.157.322.046,9.851.541.083,101597.09
150,CUNHA,1.407.250,21459,15.54,98.0,684,4.15,5.536.308.474,5.132.950.024,11971.43
151,DESCALVADO,753.706,33910,41.2,98.6,760,8.36,11.235.568.803,9.257.565.685,47327.8
152,DIADEMA,30.732,426757,12536.99,96.8,757,12.41,12.436.226.929,121.270.415.444,34855.75
153,DIRCE REIS,88.133,1799,19.12,100.0,741,111.11,1.551.684.756,1.293.980.784,32133.62
154,DIVINOLÂNDIA,223.749,11086,50.46,98.6,734,8.62,4.150.113.217,3.118.057.134,24940.84
155,DOBRADA,149.729,9010,53.02,99.5,718,16.67,2.228.117.032,1.890.998.197,13045.55
156,DOIS CÓRREGOS,632.972,27512,39.12,96.7,725,11.98,7.948.872.696,6.973.672.159,23896.69
157,DOLCINÓPOLIS,77.939,2112,26.76,100.0,742,-,132.517.967,981.463.877,21845.64
158,DOURADO,205.874,8878,41.82,100.0,738,31.25,3.224.342.162,274.537.845,70723.95
159,DRACENA,487.688,47043,88.64,98.2,776,10.18,11.937.578.421,10.936.069.292,25779.84
160,DUARTINA,264.557,12433,46.31,98.3,748,6.80,425.985.894,3.479.601.249,19047.83
161,DUMONT,111.376,10023,73.13,97.6,744,9.71,2.955.919.567,2.584.689.081,23587.84
162,ECHAPORÃ,515.258,6064,12.26,98.8,745,24.69,2.585.875.298,2.162.941.985,20426.97
163,ELDORADO,1.654.256,15544,8.85,97.3,691,14.56,4.571.182.871,3.975.467.225,20795.32
164,ELIAS FAUSTO,202.360,17936,77.83,97.3,695,14.42,5.679.578.942,5.215.579.784,40144.54
165,ELISIÁRIO,93.980,3697,33.2,98.6,747,26.32,1.778.707.463,1.507.041.166,17685.0
166,EMBAÚBA,83.129,2449,29.15,100.0,730,55.56,1.724.591.596,1.403.784.829,21238.83
167,EMBU DAS ARTES,70.398,276535,3412.89,96.8,735,11.41,61.927.282.744,55.980.658.715,48914.66
168,EMBU-GUAÇU,155.641,69901,403.32,97.1,749,5.95,1.467.765.067,12.715.569.309,16293.33
169,EMILIANÓPOLIS,225.167,3227,13.45,97.3,727,25.00,1.609.947.556,1.395.866.666,19284.0
170,ENGENHEIRO COELHO,109.941,21249,142.99,98.5,732,7.35,5.494.101.639,502.249.802,32701.36
171,ESPÍRITO SANTO DO PINHAL,389.235,44471,107.61,97.9,787,4.18,10.953.581.675,9.830.415.753,32436.36
172,ESPÍRITO SANTO DO TURVO,193.666,4878,21.92,97.4,696,45.45,2.062.128.969,1.794.254.007,16466.12
173,ESTRELA D'OESTE,296.281,8419,27.69,99.0,760,18.35,3.552.662.856,3.289.195.349,74377.84
174,ESTRELA DO NORTE,264.987,2770,10.09,98.9,740,27.78,1.689.817.931,1.434.214.864,18316.56
175,EUCLIDES DA CUNHA PAULISTA,573.894,9325,16.66,98.5,704,27.27,2.909.225.561,2.647.153.319,16893.29
176,FARTURA,429.171,16070,35.7,97.4,732,5.00,4.907.906.304,4.395.959.744,23162.82
177,FERNANDÓPOLIS,549.797,69402,117.62,99.4,797,17.65,19.925.069.195,17.468.338.965,29148.74
178,FERNANDO PRESTES,169.990,5794,32.43,96.5,758,14.93,2.262.927.511,1.967.936.307,33167.17
179,FERNÃO,100.504,1727,15.51,99.1,703,55.56,1.638.349.427,1.148.403.755,29359.98
180,FERRAZ DE VASCONCELOS,29.564,196500,5692.55,97.6,738,11.03,32.375.851.022,26.726.232.101,16344.03
181,FLORA RICA,224.711,1430,7.78,99.1,727,45.45,1.407.660.941,1.214.719.562,25329.16
182,FLOREAL,204.236,2900,14.7,96.2,747,55.56,2.107.683.759,1.743.996.057,21806.07
183,FLÓRIDA PAULISTA,524.138,14790,24.47,98.9,715,23.08,3.664.552.178,3.187.861.943,14264.37
184,FLORÍNEA,225.886,2653,12.54,96.6,713,25.00,1.938.335.856,165.833.992,50422.89
185,FRANCA,605.679,355901,526.09,98.2,780,8.80,72.080.010.493,69.376.486.769,28518.78
186,FRANCISCO MORATO,49.001,177633,3147.8,95.8,703,10.93,32.246.364.999,28.306.188.222,8719.4
187,FRANCO DA ROCHA,132.775,156492,980.95,95.7,731,14.24,32.354.370.556,28.328.564.064,19650.05
188,GABRIEL MONTEIRO,138.681,2776,19.55,99.7,763,40.00,1.577.989.789,138.922.692,26699.71
189,GÁLIA,355.914,6482,19.69,97.0,709,38.46,2.420.735.271,207.128.507,21643.97
190,GARÇA,555.807,44409,77.6,98.1,769,16.98,15.464.785.578,13.660.683.684,26874.37
191,GASTÃO VIDIGAL,180.569,4860,23.17,96.6,723,45.45,1.900.498.059,1.522.179.347,16095.7
192,GAVIÃO PEIXOTO,243.766,4815,18.13,98.7,719,14.49,4.596.625.853,3.704.895.802,186287.72
193,GENERAL SALGADO,494.376,10862,21.63,98.5,747,8.20,4.254.083.689,4.419.869.202,22848.77
194,GETULINA,676.755,11447,15.86,99.4,717,10.00,3.178.407.308,2.748.055.568,16284.53
195,GLICÉRIO,272.800,4829,16.69,98.5,735,15.38,2.145.050.411,1.852.322.084,21142.62
196,GUAIÇARA,277.154,12294,39.35,98.4,739,12.50,3.494.899.189,2.977.761.906,16298.89
197,GUAIMBÊ,217.811,5785,24.88,99.0,728,11.24,2.382.410.387,1.931.637.921,13163.82
198,GUAÍRA,1.258.465,41040,29.72,97.8,753,6.26,18.441.125.061,15.656.554.772,80169.84
199,GUAPIAÇU,325.126,21775,55.0,98.0,725,4.17,7.741.071.367,6.187.292.947,26008.59
200,GUAPIARA,408.292,17025,44.08,96.7,675,36.76,5.017.288.751,4.456.750.092,18874.32
201,GUARÁ,362.183,21308,54.78,98.0,718,4.17,6.488.221.666,5.490.499.999,20804.61
202,GUARAÇAÍ,569.197,8290,14.8,98.0,719,42.25,3.011.064.922,2.590.289.786,32770.4
203,GUARACI,641.501,11287,15.55,97.0,737,16.26,5.247.347.949,4.717.214.591,29683.17
204,GUARANI D'OESTE,85.700,1998,23.03,95.6,732,50.00,1.514.701.797,1.161.059.837,17755.48
205,GUARANTÃ,461.746,6675,13.89,98.9,713,44.12,2.315.279.477,1.891.666.553,26176.16
206,GUARARAPES,955.637,33100,31.99,99.6,763,10.81,9.365.117.078,8.691.560.146,27764.52
207,GUARAREMA,270.816,30136,95.43,97.3,731,9.85,16.535.838.094,16.131.960.779,47997.77
208,GUARATINGUETÁ,752.636,122505,148.91,97.8,798,13.79,31.463.314.171,30.489.553.466,46849.29
209,GUAREÍ,567.884,18887,25.72,96.3,687,6.58,4.359.084.558,3.644.106.027,12279.22
210,GUARIBA,270.289,40487,131.29,97.3,719,9.96,11.224.984.688,9.482.885.351,22657.16
211,GUARUJÁ,144.794,322750,2026.8,95.9,751,18.51,134.917.976.078,115.355.418.582,27031.81
212,GUARULHOS,318.675,1392121,3834.51,97.1,763,11.59,418.949.067.768,398.543.868.069,44897.7
213,GUATAPARÁ,413.567,7709,16.84,99.1,743,18.18,322.706.323,2.667.109.258,28000.56
214,GUZOLÂNDIA,252.477,5307,18.86,85.3,697,16.13,209.360.177,1.760.196.305,12594.84
215,HERCULÂNDIA,364.252,9588,23.85,98.4,727,9.71,2.629.134.958,22.891.195,33182.41
216,HOLAMBRA,65.577,15272,172.3,98.8,793,4.67,7.748.637.455,6.793.448.903,66537.66
217,HORTOLÂNDIA,62.416,234259,3094.16,97.5,756,08.08,78.015.007.223,67.418.619.628,57691.75
218,IACANGA,547.393,11858,18.29,96.7,745,7.63,4.846.183.495,412.838.993,37023.57
219,IACRI,321.948,6295,19.9,99.4,733,17.86,2.029.312.789,1.717.247.081,30157.75
220,IARAS,401.381,9517,15.89,98.5,674,54.05,2.689.817.696,2.349.336.282,17031.66
221,IBATÉ,290.978,35472,105.74,97.6,703,3.98,9.097.969.721,8.251.537.296,24454.14
222,IBIRÁ,271.912,12518,40.07,98.4,740,13.70,4.085.864.405,3.714.219.875,20475.08
223,IBIRAREMA,228.230,7841,29.45,97.4,708,29.85,2.743.690.193,2.389.156.961,23951.1
224,IBITINGA,689.391,60600,77.12,95.8,747,13.48,14.537.647.271,13.435.173.134,25630.47
225,IBIÚNA,1.058.082,79479,67.31,95.8,710,12.74,19.957.319.264,1.840.892.641,21746.5
226,ICÉM,362.355,8304,20.58,98.5,720,27.27,3.597.486.526,3.359.575.417,21243.2
227,IEPÊ,594.974,8194,12.81,97.9,736,19.42,3.490.548.075,301.662.191,30435.64
228,IGARAÇU DO TIETÊ,97.747,24749,239.07,98.8,727,20.76,6.562.476.233,5.917.584.358,12335.36
229,IGARAPAVA,468.355,30614,59.7,97.8,768,6.71,9.003.356.975,828.253.599,39002.62
230,IGARATÁ,292.953,9583,30.14,99.1,711,8.20,4.245.714.188,3.853.221.607,19049.08
231,IGUAPE,1.978.795,30989,14.58,99.5,726,32.79,10.479.414.181,8.926.986.164,38078.83
232,ILHABELA,346.389,35591,81.13,98.3,756,9.43,63.544.214.033,41.701.791.236,419457.22
233,ILHA COMPRIDA,196.567,11362,47.01,98.2,725,6.29,9.386.135.487,9.302.952.622,122204.12
234,ILHA SOLTEIRA,652.641,26788,38.42,99.3,812,14.04,12.947.589.823,11.143.211.982,23525.05
235,INDAIATUBA,311.545,256223,646.11,98.2,788,9.70,113.612.063.336,95.951.237.517,63166.46
236,INDIANA,129.367,4879,38.11,98.0,761,18.18,167.016.143,1.567.878.153,13109.17
237,INDIAPORÃ,279.606,3886,13.96,98.5,751,20.41,2.129.188.555,1.898.209.407,24449.85
238,INÚBIA PAULISTA,87.119,4019,41.53,98.3,759,-,1.647.358.183,1.435.947.921,34888.1
239,IPAUSSU,209.554,15069,65.17,97.9,727,15.71,4.799.930.933,4.259.493.842,25086.47
240,IPERÓ,170.289,37964,166.2,98.9,719,11.49,9.112.724.315,8.268.638.315,17873.0
241,IPEÚNA,190.010,7687,31.66,98.8,753,9.62,3.081.347.041,2.638.376.638,94080.97
242,IPIGUÁ,136.028,5476,32.89,98.5,730,20.00,2.299.658.464,1.814.167.521,20253.65
243,IPORANGA,1.152.059,4199,3.73,97.3,703,17.54,2.221.541.828,1.938.515.534,12098.74
244,IPUÃ,466.461,16604,30.37,98.0,749,10.53,5.987.328.611,5.448.504.373,22139.12
245,IRACEMÁPOLIS,115.118,24614,173.99,95.7,776,8.62,7.895.661.562,7.610.780.334,83477.19
246,IRAPUÃ,257.612,8048,28.21,97.9,713,12.50,2.331.809.912,2.079.486.392,19748.75
247,IRAPURU,214.461,8325,36.24,95.1,712,25.00,2.051.070.134,1.815.140.176,10659.85
248,ITABERÁ,1.100.247,17480,16.08,97.9,693,32.26,5.897.534.391,521.254.518,29569.7
249,ITAÍ,1.092.884,27382,22.17,97.9,713,03.03,9.993.716.476,7.614.201.532,22376.97
250,ITAJOBI,502.066,15297,28.99,94.9,730,17.24,7.770.193.202,6.368.173.156,105038.02
251,ITAJU,230.355,3887,14.12,98.7,705,31.25,1.853.345.513,1.572.953.704,23089.26
252,ITANHAÉM,601.711,103102,144.69,97.5,745,7.20,3.990.053.954,3.783.863.151,18763.24
253,ITAOCA,183.015,3330,17.64,98.8,680,47.62,1.731.847.582,1.617.857.517,12416.89
254,ITAPECERICA DA SERRA,150.742,177662,1011.57,96.8,742,10.39,42.726.450.588,36.630.484.686,21079.61
255,ITAPETININGA,1.789.350,165526,80.65,96.4,763,15.60,44.851.417.401,42.675.460.157,29304.81
256,ITAPEVA,1.826.258,94804,48.05,98.4,732,08.01,32.434.223.975,26.397.264.795,26860.38
257,ITAPEVI,82.658,240961,2428.88,96.5,735,11.69,7.169.989.369,53.397.066.809,51939.22
258,ITAPIRA,518.416,75234,132.21,98.0,762,23.66,26.646.731.633,25.034.039.636,52565.34
