,Município1,Código Município IBGE,População estimada (2020),UF1,Data,Média de Índice De Isolamento
25683,INDAIATUBA,3520509,256223,SP,"quarta-feira, 18/03",43%
25438,INDAIATUBA,3520509,256223,SP,"quarta-feira, 18/11",38%
25256,INDAIATUBA,3520509,256223,SP,"quarta-feira, 19/05",39%
25529,INDAIATUBA,3520509,256223,SP,"quarta-feira, 19/08",41%
25375,INDAIATUBA,3520509,256223,SP,"quarta-feira, 20/01",40%
25620,INDAIATUBA,3520509,256223,SP,"quarta-feira, 20/05",48%
25284,INDAIATUBA,3520509,256223,SP,"quarta-feira, 21/04",48%
25466,INDAIATUBA,3520509,256223,SP,"quarta-feira, 21/10",39%
25648,INDAIATUBA,3520509,256223,SP,"quarta-feira, 22/04",49%
25557,INDAIATUBA,3520509,256223,SP,"quarta-feira, 22/07",43%
25221,INDAIATUBA,3520509,256223,SP,"quarta-feira, 23/06",38%
25494,INDAIATUBA,3520509,256223,SP,"quarta-feira, 23/09",39%
25403,INDAIATUBA,3520509,256223,SP,"quarta-feira, 23/12",38%
25340,INDAIATUBA,3520509,256223,SP,"quarta-feira, 24/02",41%
25312,INDAIATUBA,3520509,256223,SP,"quarta-feira, 24/03",41%
25585,INDAIATUBA,3520509,256223,SP,"quarta-feira, 24/06",46%
25676,INDAIATUBA,3520509,256223,SP,"quarta-feira, 25/03",57%
25431,INDAIATUBA,3520509,256223,SP,"quarta-feira, 25/11",37%
25701,INDAIATUBA,3520509,256223,SP,"quarta-feira, 26/02",37%
25249,INDAIATUBA,3520509,256223,SP,"quarta-feira, 26/05",39%
25522,INDAIATUBA,3520509,256223,SP,"quarta-feira, 26/08",41%
25368,INDAIATUBA,3520509,256223,SP,"quarta-feira, 27/01",38%
25613,INDAIATUBA,3520509,256223,SP,"quarta-feira, 27/05",48%
25277,INDAIATUBA,3520509,256223,SP,"quarta-feira, 28/04",40%
25459,INDAIATUBA,3520509,256223,SP,"quarta-feira, 28/10",39%
25641,INDAIATUBA,3520509,256223,SP,"quarta-feira, 29/04",49%
25550,INDAIATUBA,3520509,256223,SP,"quarta-feira, 29/07",43%
25214,INDAIATUBA,3520509,256223,SP,"quarta-feira, 30/06",40%
25487,INDAIATUBA,3520509,256223,SP,"quarta-feira, 30/09",39%
25396,INDAIATUBA,3520509,256223,SP,"quarta-feira, 30/12",42%
25305,INDAIATUBA,3520509,256223,SP,"quarta-feira, 31/03",41%
25304,INDAIATUBA,3520509,256223,SP,"quinta-feira, 01/04",40%
25213,INDAIATUBA,3520509,256223,SP,"quinta-feira, 01/07",39%
25486,INDAIATUBA,3520509,256223,SP,"quinta-feira, 01/10",39%
25668,INDAIATUBA,3520509,256223,SP,"quinta-feira, 02/04",56%
25577,INDAIATUBA,3520509,256223,SP,"quinta-feira, 02/07",45%
25241,INDAIATUBA,3520509,256223,SP,"quinta-feira, 03/06",46%
25514,INDAIATUBA,3520509,256223,SP,"quinta-feira, 03/09",40%
25423,INDAIATUBA,3520509,256223,SP,"quinta-feira, 03/12",39%
25360,INDAIATUBA,3520509,256223,SP,"quinta-feira, 04/02",38%
25332,INDAIATUBA,3520509,256223,SP,"quinta-feira, 04/03",36%
25605,INDAIATUBA,3520509,256223,SP,"quinta-feira, 04/06",47%
25693,INDAIATUBA,3520509,256223,SP,"quinta-feira, 05/03",34%
25451,INDAIATUBA,3520509,256223,SP,"quinta-feira, 05/11",38%
25269,INDAIATUBA,3520509,256223,SP,"quinta-feira, 06/05",38%
25542,INDAIATUBA,3520509,256223,SP,"quinta-feira, 06/08",42%
25388,INDAIATUBA,3520509,256223,SP,"quinta-feira, 07/01",41%
25633,INDAIATUBA,3520509,256223,SP,"quinta-feira, 07/05",48%
25297,INDAIATUBA,3520509,256223,SP,"quinta-feira, 08/04",40%
25206,INDAIATUBA,3520509,256223,SP,"quinta-feira, 08/07",38%
25479,INDAIATUBA,3520509,256223,SP,"quinta-feira, 08/10",40%
25661,INDAIATUBA,3520509,256223,SP,"quinta-feira, 09/04",49%
25570,INDAIATUBA,3520509,256223,SP,"quinta-feira, 09/07",46%
25234,INDAIATUBA,3520509,256223,SP,"quinta-feira, 10/06",38%
25507,INDAIATUBA,3520509,256223,SP,"quinta-feira, 10/09",41%
25416,INDAIATUBA,3520509,256223,SP,"quinta-feira, 10/12",39%
25353,INDAIATUBA,3520509,256223,SP,"quinta-feira, 11/02",37%
25325,INDAIATUBA,3520509,256223,SP,"quinta-feira, 11/03",39%
25598,INDAIATUBA,3520509,256223,SP,"quinta-feira, 11/06",49%
25686,INDAIATUBA,3520509,256223,SP,"quinta-feira, 12/03",32%
25444,INDAIATUBA,3520509,256223,SP,"quinta-feira, 12/11",38%
25262,INDAIATUBA,3520509,256223,SP,"quinta-feira, 13/05",39%
25535,INDAIATUBA,3520509,256223,SP,"quinta-feira, 13/08",41%
25381,INDAIATUBA,3520509,256223,SP,"quinta-feira, 14/01",40%
25626,INDAIATUBA,3520509,256223,SP,"quinta-feira, 14/05",49%
25290,INDAIATUBA,3520509,256223,SP,"quinta-feira, 15/04",41%
25199,INDAIATUBA,3520509,256223,SP,"quinta-feira, 15/07",41%
25472,INDAIATUBA,3520509,256223,SP,"quinta-feira, 15/10",38%
25654,INDAIATUBA,3520509,256223,SP,"quinta-feira, 16/04",51%
25563,INDAIATUBA,3520509,256223,SP,"quinta-feira, 16/07",46%
25227,INDAIATUBA,3520509,256223,SP,"quinta-feira, 17/06",38%
25500,INDAIATUBA,3520509,256223,SP,"quinta-feira, 17/09",40%
25409,INDAIATUBA,3520509,256223,SP,"quinta-feira, 17/12",39%
25346,INDAIATUBA,3520509,256223,SP,"quinta-feira, 18/02",39%
25318,INDAIATUBA,3520509,256223,SP,"quinta-feira, 18/03",43%
25591,INDAIATUBA,3520509,256223,SP,"quinta-feira, 18/06",45%
25682,INDAIATUBA,3520509,256223,SP,"quinta-feira, 19/03",46%
25437,INDAIATUBA,3520509,256223,SP,"quinta-feira, 19/11",38%
25255,INDAIATUBA,3520509,256223,SP,"quinta-feira, 20/05",38%
25528,INDAIATUBA,3520509,256223,SP,"quinta-feira, 20/08",43%
25374,INDAIATUBA,3520509,256223,SP,"quinta-feira, 21/01",39%
25619,INDAIATUBA,3520509,256223,SP,"quinta-feira, 21/05",48%
25283,INDAIATUBA,3520509,256223,SP,"quinta-feira, 22/04",41%
25465,INDAIATUBA,3520509,256223,SP,"quinta-feira, 22/10",39%
25647,INDAIATUBA,3520509,256223,SP,"quinta-feira, 23/04",49%
25556,INDAIATUBA,3520509,256223,SP,"quinta-feira, 23/07",43%
25220,INDAIATUBA,3520509,256223,SP,"quinta-feira, 24/06",39%
25493,INDAIATUBA,3520509,256223,SP,"quinta-feira, 24/09",39%
25402,INDAIATUBA,3520509,256223,SP,"quinta-feira, 24/12",40%
25339,INDAIATUBA,3520509,256223,SP,"quinta-feira, 25/02",37%
25311,INDAIATUBA,3520509,256223,SP,"quinta-feira, 25/03",41%
25584,INDAIATUBA,3520509,256223,SP,"quinta-feira, 25/06",46%
25675,INDAIATUBA,3520509,256223,SP,"quinta-feira, 26/03",56%
25430,INDAIATUBA,3520509,256223,SP,"quinta-feira, 26/11",38%
25700,INDAIATUBA,3520509,256223,SP,"quinta-feira, 27/02",35%
25248,INDAIATUBA,3520509,256223,SP,"quinta-feira, 27/05",40%
25521,INDAIATUBA,3520509,256223,SP,"quinta-feira, 27/08",41%
25367,INDAIATUBA,3520509,256223,SP,"quinta-feira, 28/01",38%
25612,INDAIATUBA,3520509,256223,SP,"quinta-feira, 28/05",48%
25276,INDAIATUBA,3520509,256223,SP,"quinta-feira, 29/04",40%
25458,INDAIATUBA,3520509,256223,SP,"quinta-feira, 29/10",39%
25640,INDAIATUBA,3520509,256223,SP,"quinta-feira, 30/04",48%
25549,INDAIATUBA,3520509,256223,SP,"quinta-feira, 30/07",42%
25395,INDAIATUBA,3520509,256223,SP,"quinta-feira, 31/12",45%
25363,INDAIATUBA,3520509,256223,SP,"segunda-feira, 01/02",40%
25335,INDAIATUBA,3520509,256223,SP,"segunda-feira, 01/03",37%
25608,INDAIATUBA,3520509,256223,SP,"segunda-feira, 01/06",48%
25696,INDAIATUBA,3520509,256223,SP,"segunda-feira, 02/03",36%
25454,INDAIATUBA,3520509,256223,SP,"segunda-feira, 02/11",47%
25272,INDAIATUBA,3520509,256223,SP,"segunda-feira, 03/05",39%
25545,INDAIATUBA,3520509,256223,SP,"segunda-feira, 03/08",43%
25391,INDAIATUBA,3520509,256223,SP,"segunda-feira, 04/01",39%
25636,INDAIATUBA,3520509,256223,SP,"segunda-feira, 04/05",49%
25300,INDAIATUBA,3520509,256223,SP,"segunda-feira, 05/04",41%
25209,INDAIATUBA,3520509,256223,SP,"segunda-feira, 05/07",39%
25482,INDAIATUBA,3520509,256223,SP,"segunda-feira, 05/10",38%
25664,INDAIATUBA,3520509,256223,SP,"segunda-feira, 06/04",53%
25573,INDAIATUBA,3520509,256223,SP,"segunda-feira, 06/07",43%
25237,INDAIATUBA,3520509,256223,SP,"segunda-feira, 07/06",39%
25510,INDAIATUBA,3520509,256223,SP,"segunda-feira, 07/09",47%
25419,INDAIATUBA,3520509,256223,SP,"segunda-feira, 07/12",39%
25356,INDAIATUBA,3520509,256223,SP,"segunda-feira, 08/02",38%
25328,INDAIATUBA,3520509,256223,SP,"segunda-feira, 08/03",39%
25601,INDAIATUBA,3520509,256223,SP,"segunda-feira, 08/06",47%
25689,INDAIATUBA,3520509,256223,SP,"segunda-feira, 09/03",35%
25447,INDAIATUBA,3520509,256223,SP,"segunda-feira, 09/11",39%
25265,INDAIATUBA,3520509,256223,SP,"segunda-feira, 10/05",39%
